iter	Passed	Remaining
0	147	147358
1	150	75227
2	153	51129
3	158	39541
4	161	32122
5	164	27195
6	167	23730
7	171	21318
8	174	19229
9	177	17540
10	182	16437
11	186	15331
12	188	14331
13	191	13479
14	198	13039
15	202	12427
16	205	11858
17	212	11576
18	215	11126
19	218	10716
20	222	10351
21	227	10130
22	230	9787
23	232	9474
24	237	9245
25	241	9050
26	244	8807
27	247	8590
28	250	8390
29	254	8230
30	257	8053
31	260	7871
32	262	7699
33	266	7575
34	269	7425
35	271	7277
36	274	7155
37	277	7027
38	282	6956
39	285	6840
40	288	6744
41	292	6682
42	300	6686
43	303	6587
44	306	6496
45	313	6506
46	316	6417
47	319	6333
48	322	6259
49	325	6185
50	328	6118
51	331	6038
52	333	5961
53	336	5891
54	340	5857
55	344	5804
56	347	5744
57	349	5677
58	354	5646
59	358	5609
60	362	5576
61	364	5520
62	367	5466
63	371	5426
64	374	5381
65	377	5336
66	379	5285
67	384	5264
68	387	5228
69	390	5185
70	393	5153
71	400	5167
72	403	5129
73	406	5090
74	409	5056
75	412	5020
76	416	4988
77	418	4952
78	421	4915
79	425	4890
80	429	4878
81	432	4842
82	433	4792
83	438	4780
84	444	4784
85	446	4750
86	450	4723
87	453	4701
88	456	4676
89	459	4646
90	464	4642
91	469	4633
92	483	4713
93	486	4691
94	489	4665
95	497	4683
96	500	4660
97	503	4638
98	507	4615
99	509	4588
100	513	4568
101	518	4566
102	521	4540
103	523	4514
104	529	4512
105	533	4496
106	535	4470
107	538	4446
108	542	4434
109	546	4419
110	549	4397
111	552	4379
112	555	4360
113	562	4370
114	565	4350
115	568	4329
116	570	4304
117	575	4300
118	577	4278
119	580	4254
120	582	4232
121	584	4207
122	589	4204
123	593	4195
124	596	4176
125	599	4155
126	603	4146
127	606	4130
128	608	4111
129	611	4093
130	614	4074
131	616	4056
132	620	4043
133	622	4025
134	625	4006
135	627	3989
136	631	3979
137	634	3964
138	637	3947
139	640	3933
140	645	3929
141	647	3910
142	650	3898
143	653	3884
144	656	3869
145	661	3867
146	664	3853
147	667	3842
148	669	3826
149	674	3819
150	677	3807
151	679	3792
152	682	3778
153	685	3764
154	688	3755
155	691	3742
156	694	3727
157	696	3713
158	699	3699
159	702	3686
160	704	3668
161	707	3657
162	709	3643
163	712	3630
164	716	3624
165	718	3611
166	721	3597
167	723	3585
168	726	3571
169	730	3567
170	733	3557
171	736	3546
172	739	3533
173	741	3520
174	744	3509
175	747	3501
176	750	3490
177	753	3480
178	756	3469
179	761	3469
180	764	3459
181	767	3448
182	769	3436
183	773	3430
184	776	3421
185	779	3410
186	781	3399
187	784	3388
188	788	3382
189	791	3373
190	793	3362
191	796	3352
192	799	3344
193	803	3336
194	805	3326
195	808	3316
196	811	3307
197	814	3300
198	817	3291
199	820	3282
200	823	3273
201	826	3263
202	832	3266
203	834	3256
204	837	3247
205	839	3237
206	842	3229
207	846	3224
208	849	3215
209	853	3209
210	859	3212
211	862	3206
212	865	3197
213	870	3196
214	874	3191
215	877	3185
216	880	3176
217	883	3168
218	888	3166
219	891	3159
220	893	3150
221	896	3142
222	899	3134
223	904	3132
224	907	3127
225	910	3118
226	913	3110
227	916	3103
228	919	3097
229	923	3090
230	925	3082
231	929	3075
232	932	3068
233	935	3062
234	938	3054
235	943	3055
236	949	3056
237	952	3048
238	954	3040
239	957	3033
240	963	3033
241	965	3025
242	968	3017
243	971	3008
244	976	3007
245	979	3001
246	982	2994
247	985	2987
248	989	2984
249	993	2979
250	996	2972
251	998	2965
252	1002	2960
253	1006	2954
254	1009	2949
255	1012	2942
256	1015	2935
257	1018	2929
258	1021	2922
259	1024	2915
260	1028	2911
261	1037	2921
262	1040	2914
263	1043	2908
264	1049	2911
265	1052	2905
266	1056	2899
267	1059	2893
268	1065	2896
269	1070	2893
270	1075	2893
271	1080	2893
272	1085	2890
273	1088	2884
274	1094	2884
275	1097	2879
276	1101	2875
277	1105	2871
278	1114	2880
279	1118	2874
280	1123	2874
281	1129	2876
282	1140	2888
283	1147	2892
284	1158	2905
285	1191	2974
286	1197	2975
287	1202	2971
288	1225	3013
289	1229	3010
290	1240	3023
291	1267	3073
292	1281	3093
293	1288	3094
294	1327	3172
295	1342	3193
296	1347	3189
297	1351	3184
298	1359	3188
299	1367	3191
300	1379	3202
301	1392	3218
302	1410	3245
303	1438	3293
304	1441	3285
305	1492	3384
306	1502	3390
307	1505	3383
308	1510	3377
309	1513	3369
310	1517	3361
311	1521	3355
312	1524	3346
313	1528	3338
314	1534	3336
315	1537	3329
316	1541	3320
317	1548	3320
318	1551	3312
319	1556	3306
320	1559	3298
321	1563	3291
322	1567	3285
323	1571	3278
324	1575	3271
325	1578	3263
326	1581	3255
327	1585	3248
328	1590	3244
329	1594	3237
330	1597	3228
331	1602	3223
332	1608	3222
333	1611	3213
334	1615	3206
335	1618	3198
336	1623	3194
337	1626	3185
338	1629	3177
339	1632	3168
340	1639	3168
341	1642	3159
342	1645	3151
343	1647	3142
344	1652	3136
345	1655	3128
346	1658	3120
347	1661	3113
348	1664	3105
349	1668	3097
350	1670	3089
351	1673	3081
352	1676	3073
353	1681	3069
354	1684	3061
355	1687	3052
356	1694	3052
357	1698	3045
358	1701	3038
359	1705	3031
360	1710	3027
361	1714	3021
362	1717	3013
363	1720	3006
364	1725	3001
365	1728	2994
366	1731	2987
367	1734	2979
368	1740	2976
369	1743	2968
370	1747	2961
371	1749	2954
372	1754	2948
373	1756	2940
374	1759	2932
375	1762	2924
376	1768	2921
377	1771	2915
378	1774	2907
379	1777	2899
380	1782	2896
381	1786	2889
382	1789	2882
383	1804	2894
384	1807	2886
385	1809	2879
386	1814	2874
387	1817	2867
388	1820	2859
389	1823	2852
390	1829	2850
391	1833	2843
392	1836	2835
393	1838	2828
394	1845	2825
395	1848	2818
396	1854	2816
397	1861	2815
398	1865	2810
399	1871	2807
400	1875	2801
401	1878	2794
402	1882	2788
403	1886	2783
404	1890	2777
405	1893	2770
406	1896	2763
407	1904	2763
408	1907	2755
409	1910	2749
410	1913	2742
411	1917	2736
412	1920	2729
413	1923	2722
414	1926	2715
415	1930	2709
416	1933	2703
417	1936	2695
418	1939	2689
419	1944	2685
420	1948	2679
421	1951	2672
422	1954	2665
423	1956	2658
424	1961	2654
425	1964	2647
426	1967	2640
427	1970	2634
428	1974	2628
429	1977	2621
430	1980	2614
431	1983	2607
432	1987	2602
433	1990	2595
434	1993	2589
435	1996	2582
436	1999	2575
437	2002	2569
438	2005	2562
439	2008	2556
440	2010	2549
441	2014	2542
442	2017	2536
443	2020	2530
444	2023	2523
445	2025	2516
446	2029	2510
447	2033	2505
448	2035	2498
449	2038	2491
450	2041	2484
451	2045	2480
452	2048	2473
453	2051	2466
454	2053	2460
455	2056	2453
456	2061	2449
457	2064	2443
458	2067	2436
459	2070	2430
460	2074	2425
461	2077	2419
462	2080	2413
463	2083	2406
464	2088	2402
465	2091	2396
466	2094	2390
467	2096	2383
468	2101	2379
469	2105	2374
470	2108	2368
471	2110	2361
472	2113	2355
473	2117	2350
474	2120	2344
475	2123	2337
476	2126	2331
477	2128	2324
478	2133	2320
479	2136	2314
480	2138	2307
481	2141	2301
482	2145	2296
483	2148	2290
484	2151	2284
485	2155	2279
486	2158	2273
487	2162	2268
488	2165	2262
489	2168	2256
490	2170	2250
491	2174	2245
492	2177	2239
493	2181	2234
494	2184	2228
495	2187	2223
496	2190	2217
497	2195	2213
498	2198	2207
499	2201	2201
500	2205	2196
501	2208	2191
502	2211	2185
503	2214	2179
504	2218	2174
505	2221	2169
506	2224	2163
507	2227	2157
508	2230	2151
509	2235	2148
510	2238	2142
511	2241	2136
512	2244	2130
513	2248	2125
514	2251	2120
515	2253	2114
516	2256	2108
517	2259	2102
518	2264	2099
519	2267	2093
520	2270	2087
521	2275	2083
522	2279	2078
523	2282	2073
524	2285	2067
525	2289	2063
526	2293	2058
527	2296	2052
528	2299	2047
529	2303	2042
530	2307	2037
531	2310	2032
532	2313	2026
533	2318	2023
534	2322	2018
535	2326	2013
536	2329	2008
537	2332	2003
538	2336	1998
539	2339	1992
540	2342	1987
541	2345	1981
542	2351	1978
543	2354	1973
544	2357	1968
545	2360	1962
546	2364	1958
547	2368	1953
548	2374	1950
549	2379	1947
550	2383	1942
551	2386	1937
552	2390	1931
553	2395	1928
554	2398	1922
555	2401	1917
556	2404	1912
557	2410	1909
558	2413	1903
559	2416	1898
560	2419	1893
561	2426	1891
562	2431	1887
563	2434	1882
564	2441	1879
565	2444	1874
566	2448	1869
567	2454	1866
568	2458	1862
569	2461	1856
570	2464	1851
571	2486	1860
572	2491	1856
573	2500	1856
574	2504	1851
575	2508	1846
576	2511	1841
577	2517	1838
578	2521	1833
579	2524	1828
580	2528	1823
581	2533	1819
582	2536	1814
583	2539	1809
584	2554	1812
585	2564	1811
586	2567	1806
587	2570	1800
588	2573	1795
589	2577	1791
590	2580	1785
591	2583	1780
592	2586	1775
593	2592	1772
594	2595	1766
595	2598	1761
596	2601	1756
597	2605	1751
598	2609	1746
599	2616	1744
600	2619	1739
601	2622	1733
602	2625	1728
603	2628	1723
604	2633	1719
605	2636	1714
606	2642	1710
607	2676	1725
608	2683	1723
609	2686	1717
610	2690	1712
611	2698	1710
612	2701	1705
613	2704	1700
614	2708	1695
615	2712	1691
616	2715	1685
617	2718	1680
618	2724	1677
619	2728	1672
620	2730	1666
621	2733	1661
622	2739	1657
623	2742	1652
624	2744	1646
625	2747	1641
626	2750	1636
627	2754	1631
628	2757	1626
629	2760	1620
630	2762	1615
631	2765	1610
632	2768	1605
633	2771	1600
634	2774	1594
635	2777	1589
636	2781	1585
637	2784	1580
638	2787	1574
639	2790	1569
640	2796	1566
641	2799	1561
642	2802	1555
643	2805	1550
644	2809	1546
645	2812	1541
646	2815	1535
647	2818	1530
648	2820	1525
649	2825	1521
650	2828	1516
651	2831	1511
652	2833	1505
653	2836	1500
654	2839	1495
655	2843	1490
656	2845	1485
657	2849	1480
658	2852	1476
659	2855	1471
660	2858	1466
661	2861	1461
662	2864	1455
663	2867	1451
664	2870	1446
665	2873	1440
666	2876	1435
667	2878	1430
668	2883	1426
669	2886	1421
670	2889	1416
671	2892	1411
672	2895	1407
673	2900	1402
674	2903	1397
675	2906	1393
676	2911	1389
677	2914	1384
678	2917	1379
679	2920	1374
680	2923	1369
681	2926	1364
682	2929	1359
683	2931	1354
684	2934	1349
685	2937	1344
686	2940	1339
687	2943	1334
688	2945	1329
689	2948	1324
690	2951	1319
691	2955	1315
692	2958	1310
693	2960	1305
694	2963	1300
695	2966	1295
696	2970	1291
697	2972	1286
698	2975	1281
699	2978	1276
700	2984	1272
701	2986	1267
702	2989	1263
703	2992	1258
704	2995	1253
705	2998	1248
706	3001	1243
707	3003	1238
708	3007	1234
709	3011	1229
710	3013	1225
711	3016	1220
712	3019	1215
713	3022	1210
714	3026	1206
715	3029	1201
716	3032	1196
717	3035	1192
718	3038	1187
719	3044	1183
720	3047	1179
721	3050	1174
722	3052	1169
723	3056	1165
724	3063	1162
725	3066	1157
726	3071	1153
727	3076	1149
728	3079	1144
729	3081	1139
730	3086	1135
731	3090	1131
732	3092	1126
733	3095	1121
734	3101	1118
735	3104	1113
736	3107	1108
737	3109	1104
738	3115	1100
739	3119	1096
740	3122	1091
741	3125	1086
742	3129	1082
743	3132	1077
744	3135	1073
745	3138	1068
746	3141	1064
747	3146	1059
748	3148	1055
749	3151	1050
750	3153	1045
751	3157	1041
752	3160	1036
753	3162	1031
754	3165	1027
755	3167	1022
756	3173	1018
757	3176	1014
758	3179	1009
759	3181	1004
760	3186	1000
761	3189	996
762	3192	991
763	3194	986
764	3197	982
765	3201	978
766	3204	973
767	3207	968
768	3209	964
769	3212	959
